time,price
40777,31.2450005
40778,31.2949995
40779,32.47
40780,33.230001
40781,33.755
40784,36.0799995
40785,36.55
40786,36.815
40787,36.3199995
40788,34.6500005
40792,33.3549995
40793,35.06
40794,34.7750005
40795,33.505001
40798,33.0449995
40799,34.1499995
40800,35.85
40801,37.0800005
40802,36.7749995
40805,35.185
40806,35.2000005
40807,33.670001
40808,31.1900005
40809,31.3400005
40812,32.2149995
40813,33.4849995
40814,32.6450005
40815,32.5099995
40816,31.5399995
40819,30.15
40820,29.9400005
40821,31.625
40822,32.7550005
40823,31.8350005
40826,32.725
40827,33.399999
40828,33.995
40829,32.9000005
40830,33.249999
40833,33.0450005
40834,33.2550005
40835,33.15
40836,33.4300005
40837,34.775001
40840,36.564999
40841,36.44
40842,35.885
40843,38.899999
40844,40.3649995
40847,38.4600005
40848,35.2649995
40849,35.9900005
40850,36.97
40851,36.7399995
40854,37.2699995
40855,38.384999
40856,36.7399995
40857,36.88
40858,37.5299995
40861,37.34
40862,38.105001
40863,37.9600005
40864,37.7749995
40865,37.155
40868,35.7999995
40869,35.5999995
40870,34.305
40872,33.625
40875,35.1450005
40876,35.1949995
40877,37.039999
40878,37.56
40879,37.5750005
40882,37.2949995
40883,37.0549995
40884,36.665
40885,35.325001
40886,35.089999
40889,34.27
40890,33.6050005
40891,32.965
40892,33.489999
40893,33.5949995
40896,33.4299995
40897,34.285
40898,34.395
40899,34.3750005
40900,35.1
40904,35.2200005
40905,34.68
40906,34.6
40907,34.929999
40911,36.1600005
40912,36.170001
40913,36.44
40914,37.2450005
40917,38
40918,38.9600005
40919,38.9000005
40920,39.3299995
40921,39.060001
40925,39.8750005
40926,40.635
40927,41.610001
40928,41.384999
40931,40.9399995
40932,41.7599995
40933,43.459999
40934,43.465
40935,42.53
40938,42.5450005
40939,42.9
40940,43.635
40941,43.965
40942,44.839999
40945,44.7
40946,44.6799985
40947,44.8349995
40948,45.0450015
40949,44.190001
40952,44.265001
40953,43.76
40954,44.0700005
40955,43.415
40956,43.5900005
40960,42.9399995
40961,42.6350005
40962,43.0699995
40963,43.274999
40966,43.0299995
40967,43.5649995
40968,43.710001
40969,43.9499995
40970,43.945
40973,43.1900005
40974,42.285
40975,42.964999
40976,44.09
40977,44.3950005
40980,44.0300005
40981,44.535
40982,45.054998
40983,45.4799995
40984,45.7749995
40987,45.4049995
40988,44.96
40989,44.8050005
40990,43.8500005
40991,43.9349995
40994,44.96
40995,45.3600005
40996,45.004999
40997,44.28
40998,44.634999
41001,44.6900005
41002,44.7849995
41003,44.0399995
41004,44.2149995
41008,43.840001
41009,42.9
41010,42.7199995
41011,43.074999
41012,42.7250005
41015,42.29
41016,42.525
41017,42.305
41018,42.165
41019,42.134999
41022,41.315
41023,40.090001
41024,40.739999
41025,41.555
41026,42.38
41029,42.345
41030,42.4999995
41031,42.8700005
41032,42.6799995
41033,41.580001
41036,40.765
41037,40.4600005
41038,39.7949995
41039,40.175
41040,39.489999
41043,38.885
41044,40.71
41045,40.215
41046,40.7649995
41047,39.365
41050,39.4099995
41051,40.2750005
41052,40.4
41053,40.93
41054,41.0150005
41058,41.825
41059,41.495
41060,41.06
41061,38.7100005
41064,38.095
41065,37.95
41066,39.2500005
41067,40.2549995
41068,39.6099995
41071,39.515001
41072,39.2049995
41073,39.1000005
41074,39.220001
41075,39.84
41078,39.9999995
41079,40.8100005
41080,40.91
41081,39.9049995
41082,39.255
41085,38.0500005
41086,37.9950005
41087,38.3949995
41088,37.884999
41089,38.795
41092,39.22
41093,39.1800005
41095,39.315
41096,38.3850005
41099,37.785001
41100,37.8300005
41101,37.32
41102,36.705001
41103,36.795
41106,36.8250005
41107,37.1099995
41108,37.745
41109,38.309999
41110,37.8850005
41113,36.755
41114,36.105
41115,36.029999
41116,36.775
41117,37.395
41120,38.050001
41121,38.160001
41122,38.455001
41123,37.825
41124,38.8250005
41127,39.4799995
41128,39.8000005
41129,40.475
41130,40.6799995
41131,40.4800005
41134,40.325001
41135,40.5550005
41136,40.404999
41137,37.325
41138,37.2250005
41141,36.8499995
41142,37.0149995
41143,37.2549995
41144,37.3499995
41145,37.555001
41148,37.6300005
41149,37.1649995
41150,37.1150005
41151,37.000001
41152,37.2450005
41156,37.01
41157,36.9
41158,37.295001
41159,37.95
41162,38.2900005
41163,38.034999
41164,37.7050005
41165,37.919999
41166,39.085
41169,39.545
41170,39.5549995
41171,39.7049995
41172,39.3899995
41173,39.2649995
41176,38.780001
41177,38.59
41178,38.3749995
41179,38.535
41180,38.465
41183,38.679999
41184,38.975
41185,38.9900005
41186,39.2100005
41187,39.154999
41190,38.625
41191,38.405
41192,37.7950005
41193,37.7000005
41194,37.455
41197,37.25
41198,37.689999
41199,38.025001
41200,37.1150005
41201,36.11
41204,35.83
41205,35.445
41206,35.745
41207,36.150001
41208,36.055
41213,35.995
41214,36.57
41215,37.185001
41218,37.305
41219,37.9550005
41220,37.6799995
41221,37.229999
41222,36.77
41225,36.94
41226,36.495
41227,36.2799995
41228,35.945
41229,35.7999995
41232,37.2600005
41233,36.11
41234,36.0799995
41236,36.5199995
41239,37.079999
41240,37.3500005
41241,37.545
41242,38.2149995
41243,38.3300005
41246,38.26
41247,38.04
41248,38.4000005
41249,38.430001
41250,38.155
41253,38.1799995
41254,39.2249995
41255,40.1550005
41256,40.0950005
41257,39.7850005
41260,40.36
41261,41.075
41262,41.034999
41263,40.9699995
41264,40.865001
41267,40.979999
41269,40.999999
41270,40.730001
41271,40.025
41274,40.3150005
41276,42.024999
41277,41.9849995
41278,42.4999995
41281,42.5750005
41282,42.339999
41283,43.175
41284,43.655
41285,43.545001
41288,43.485
41289,43.1949995
41290,43.1
41291,43.7549995
41292,44.0999995
41296,44.2999995
41297,44.4200005
41298,44.6099995
41299,45.0100015
41302,45.1849995
41303,44.7999995
41304,44.4900005
41305,44.5650015
41306,45.1850025
41309,44.5300005
41310,44.7800005
41311,44.905001
41312,44.9550005
41313,45.0750025
41316,44.885
41317,44.715
41318,44.7799995
41319,44.650001
41320,42.8649995
41324,42.6099995
41325,42.5399995
41326,41.885
41327,41.815
41330,41.6899995
41331,40.7950005
41332,41.3599995
41333,41.63
41334,41.555
41337,41.8899995
41338,42.5050005
41339,43.12
41340,43.2750005
41341,43.265
41344,42.900001
41345,42.709999
41346,42.7800005
41347,43.175001
41348,43.0550005
41351,42.5050005
41352,42.3400005
41353,42.475
41354,42.05
41355,41.5199995
41358,41.3100005
41359,41.61
41360,41.7449995
41361,42.025001
41365,41.3800005
41366,40.8900005
41367,40.574999
41368,40.9750005
41369,41.135
41372,41.549999
41373,41.6899995
41374,41.995
41375,43.105
41376,44.144999
41379,43.7700005
41380,43.424999
41381,42.6350005
41382,41.7999995
41383,41.945001
41386,41.94
41387,42.409999
41388,42.7850005
41389,42.8899995
41390,41.870001
41393,41.55
41394,41.3199995
41395,41.365
41396,41.485
41397,41.74
41400,41.72
41401,42.290001
41402,42.6700005
41403,43.065
41404,43.375
41407,43.2350005
41408,43.4749995
41409,45.29
41410,45.209998
41411,45.29
41414,45.91
41415,46.5249985
41416,46.479999
41417,45.720001
41418,45.4749995
41422,46.259999
41423,46.015001
41424,46.1300005
41425,45.680001
41428,45.5800005
41429,45.8
41430,44.9249995
41431,44.7550015
41432,45.1550015
41435,45.039999
41436,44.31
41437,44.3500015
41438,44.179999
41439,44.1699995
41442,44.379999
41443,44.59
41444,44.13
41445,42.715
41446,42.7899995
41449,42.3750005
